name,date,foto
Band Geeks,07/09/01,https://i.ytimg.com/vi/IIjPP0x0ulE/hqdefault.jpg
Chocolate With Nuts,01/06/02,https://i.ytimg.com/vi/Uc9vYCMm7aQ/hqdefault.jpg
Pizza Delivery,14/08/99,https://i.ytimg.com/vi/hi9oNYiYmrI/hqdefault.jpg
The Camping Episode,03/04/04,https://vignette.wikia.nocookie.net/spongebob/images/9/94/Campfire_song_song.png/revision/latest?cb=20141206185112
Graveyard Shift,06/09/02,https://i.ytimg.com/vi/hEzezWJTWuE/hqdefault.jpg
The Idiot Box,02/03/02,https://i.ytimg.com/vi/gZp8JW6y-m0/hqdefault.jpg
Frankendoodle,21/01/02,http://static.tvtropes.org/pmwiki/pub/images/frankendoodle.png
No Weenies Allowed,15/03/02,https://i.ytimg.com/vi/EVsYIMjD7CY/hqdefault.jpg
Just One Bite,05/10/01,https://i.ytimg.com/vi/73KwDRkKNWk/hqdefault.jpg
Krusty Krab Training Video,10/05/02,https://i.ytimg.com/vi/BAHWB-DxQEM/hqdefault.jpg
Club Spongebob,12/07/02,https://i.ytimg.com/vi/WAzGNbuu3LU/hqdefault.jpg
Wet Painters,10/05/02,http://www.favslist.com/photos/pages/x1/Wet-Painters-1408993015-84634.jpg
Sailor Mouth,21/09/01,https://i.ytimg.com/vi/PpfK-sIuoXk/hqdefault.jpg
The Fry Cook Games,29/09/01,https://i.ytimg.com/vi/RPscYg8xGXY/hqdefault.jpg
One Krabs Trash,22/02/02,https://vignette.wikia.nocookie.net/spongebob/images/b/b2/046b_-_One_Krabs_Trash_%28055%29.jpg/revision/latest?cb=20170504095635
SB-129,31/12/99,https://vignette.wikia.nocookie.net/spongebob/images/d/da/SB-129_%2881%29.png/revision/latest?cb=20170210231211
Bubblestand,17/07/99,https://ia.media-imdb.com/images/M/MV5BNDVmOGU4YjYtNDQ4NC00NzkzLTk2ZWEtNDlhNTVjYzZjNzQ3L2ltYWdlXkEyXkFqcGdeQXVyNzA5MDExNjQ@._V1_.jpg
Rock Bottom,15/05/00,https://vignette.wikia.nocookie.net/spongebob/images/c/ce/Rock_bottom.png/revision/latest?cb=20150705005709
Survival of the Idiots,05/05/01,https://i.ytimg.com/vi/GG2eGYXhrrQ/hqdefault.jpg
F.U.N.,18/09/01,https://vignette.wikia.nocookie.net/spongebob/images/5/5d/F.U.N._066.jpg/revision/latest?cb=20150829234552
